Submission Date,Price,Quantity (grams),Quality,City (Census subdivision),Province,Primary Reason,Usage,Average Monthly Consumption (grams)
30/01/2018,8.3,1,High,halifax,NS,Use recreationally,A few times per week,3.5
30/01/2018,8,1,High,halifax,NS,Medicate with a medical document,Daily,3.5
31/01/2018,80,10,Medium,halifax,NS,Use recreationally,A few times per month,3.5
01/02/2018,8,1,High,halifax,NS,Use recreationally,A few times per week,3.5
01/02/2018,8,1,High,halifax,NS,Medicate without a medical document,A few times per week,3.5
01/02/2018,40,5,High,halifax,NS,Use recreationally,A few times per month,3.5
30/01/2018,7.5,1,High,halifax,NS,Use recreationally,Daily,3.5
30/01/2018,25,3.5,Medium,halifax,NS,Use recreationally,A few times per month,3.5
30/01/2018,50,7,Medium,halifax,NS,Use recreationally,A few times per month,3.5
30/01/2018,200,28,Medium,halifax,NS,Use recreationally,A few times per month,3.5
30/01/2018,50,7,High,halifax,NS,Medicate without a medical document,A few times per week,3.5
01/02/2018,50,7,Medium,halifax,NS,Use recreationally,A few times per month,3.5
30/01/2018,7,1,High,halifax,NS,Use recreationally,A few times per month,3.5
30/01/2018,23,3.5,Medium,halifax,NS,Medicate without a medical document,A few times per month,3.5
30/01/2018,6.5,1,Medium,halifax,NS,Use recreationally,A few times a year,3.5
30/01/2018,180,28,High,halifax,NS,Use recreationally,Daily,3.5
30/01/2018,6,1,Medium,halifax,NS,Medicate without a medical document,Daily,3.5
30/01/2018,6,1,High,halifax,NS,Use recreationally,A few times per month,3.5
30/01/2018,20,3.5,Medium,halifax,NS,Medicate without a medical document,A few times per week,3.5
30/01/2018,150,28,High,halifax,NS,Use recreationally,A few times per month,3.5
26/01/2018,1200,240,Medium,halifax,NS,Use recreationally,Daily,3.5
30/01/2018,5,1,High,halifax,NS,Use recreationally,Daily,3.5
30/01/2018,5,1,Medium,halifax,NS,Medicate without a medical document,A few times per week,3.5
30/01/2018,30,7,Medium,halifax,NS,Use recreationally,A few times per month,3.5
30/01/2018,15,3.5,High,halifax,NS,Medicate without a medical document,A few times per month,3.5
03/02/2018,110,28,Medium,halifax,NS,Medicate without a medical document,Daily,3.5
30/01/2018,110,28,High,halifax,NS,Use recreationally,A few times per month,3.5
26/01/2018,3,1,Medium,halifax,NS,Medicate without a medical document,A few times per month,3.5
05/02/2018,90,14,Medium,halifax,NS,Use recreationally,A few times per month,3.5
07/02/2018,11,1,Medium,halifax,NS,Use recreationally,A few times per week,1
30/01/2018,10,1,Medium,halifax,NS,Use recreationally,A few times per week,2
06/02/2018,10,1,High,halifax,NS,Medicate without a medical document,A few times per week,14
06/02/2018,95,14,High,halifax,NS,Use recreationally,A few times per week,14
30/01/2018,10,1,Medium,halifax,NS,Use recreationally,A few times a year,1
30/01/2018,10,1,Medium,halifax,NS,Use recreationally,A few times a year,1
30/01/2018,10,1,Medium,halifax,NS,Medicate without a medical document,A few times per month,1
01/02/2018,10,1,Medium,halifax,NS,Use recreationally,A few times per month,1
02/02/2018,10,1,Medium,halifax,NS,Use recreationally,A few times per month,1
31/01/2018,9,1,High,halifax,NS,Use recreationally,A few times per month,1
30/01/2018,30,3.5,High,halifax,NS,Use recreationally,A few times per month,1
31/01/2018,60,7,Medium,halifax,NS,Use recreationally,A few times per month,1
06/02/2018,120,14,High,halifax,NS,Medicate without a medical document,Daily,7
29/01/2018,40,5,Medium,halifax,NS,Use recreationally,A few times per month,1
30/01/2018,8,1,Medium,halifax,NS,Use recreationally,A few times a year,1
31/01/2018,8,1,Medium,halifax,NS,Use recreationally,A few times a year,1
06/02/2018,8,1,Medium,halifax,NS,Medicate without a medical document,Daily,28
30/01/2018,27,3.5,Medium,halifax,NS,Use recreationally,A few times per week,1
07/02/2018,52,7,Medium,halifax,NS,Medicate without a medical document,Daily,7
30/01/2018,25,3.5,Medium,halifax,NS,Use recreationally,A few times a year,1
02/02/2018,60,8.5,High,halifax,NS,Use recreationally,A few times per month,1
05/02/2018,7,1,High,halifax,NS,Use recreationally,Daily,28
06/02/2018,6.5,1,High,halifax,NS,Use recreationally,Daily,14
30/01/2018,40,7,Medium,halifax,NS,Use recreationally,A few times per week,1
30/01/2018,40,7,High,halifax,NS,Use recreationally,A few times a year,1
31/01/2018,150,28,High,halifax,NS,Use recreationally,A few times a year,1
31/01/2018,5,1,Medium,halifax,NS,Medicate with a medical document,A few times per week,1
06/02/2018,5,1,High,halifax,NS,Medicate without a medical document,Daily,1
05/02/2018,5,1,Low,halifax,NS,Use recreationally,Daily,28
01/02/2018,120,28,Low,halifax,NS,Use recreationally,A few times per month,1
31/01/2018,35,10,Medium,halifax,NS,Use recreationally,A few times a year,1
04/02/2018,2,1,High,halifax,NS,Use recreationally,A few times a year,1
26/01/2018,10,1,High,halifax,NS,Use recreationally,A few times a year,0.5
26/01/2018,10,1,Medium,halifax,NS,Use recreationally,A few times a year,0.5
26/01/2018,10,1,Medium,halifax,NS,Use recreationally,A few times a year,0.5
29/01/2018,10,1,Low,halifax,NS,Use recreationally,A few times a year,0.5
30/01/2018,35,3.5,High,halifax,NS,Use recreationally,A few times per month,0.5
30/01/2018,20,2,High,halifax,NS,Use recreationally,A few times a year,0.5
30/01/2018,10,1,Medium,halifax,NS,Use recreationally,A few times a year,0.5
30/01/2018,10,1,Medium,halifax,NS,Use recreationally,A few times a year,0.5
31/01/2018,10,1,High,halifax,NS,Use recreationally,A few times a year,0.5
31/01/2018,10,1,Medium,halifax,NS,Use recreationally,A few times a year,0.5
01/02/2018,10,1,Medium,halifax,NS,Use recreationally,A few times a year,0.5
04/02/2018,10,1,High,halifax,NS,Use recreationally,A few times per month,0.5
30/01/2018,9.5,1,Medium,halifax,NS,Medicate without a medical document,A few times a year,0.5
31/01/2018,30,3.5,High,halifax,NS,Use recreationally,A few times a year,0.5
30/01/2018,8,1,Medium,halifax,NS,Use recreationally,A few times a year,0.5
31/01/2018,8,1,Medium,halifax,NS,Use recreationally,A few times per week,0.5
31/01/2018,8,1,High,halifax,NS,Medicate without a medical document,A few times a year,0.5
27/01/2018,110,14,High,halifax,NS,Use recreationally,A few times a year,0.5
30/01/2018,6,1,Low,halifax,NS,Use recreationally,A few times a year,0.5
30/01/2018,20,3.5,Medium,halifax,NS,Medicate without a medical document,A few times a year,0.5
31/01/2018,20,3.5,Medium,halifax,NS,Use recreationally,A few times a year,0.5
26/01/2018,5,1,Medium,halifax,NS,Use recreationally,A few times a year,0.5
31/01/2018,5,1,High,halifax,NS,Use recreationally,A few times per month,0.5
03/02/2018,5,1,High,halifax,NS,Use recreationally,A few times a year,0.5
30/01/2018,20,1.5,Medium,halifax,NS,Medicate without a medical document,A few times per month,0.25
30/01/2018,10,1,Medium,halifax,NS,Use recreationally,A few times per month,0.25
03/02/2018,10,1,Medium,halifax,NS,Use recreationally,A few times a year,0.2
01/02/2018,11,1,High,halifax,NS,Use recreationally,,0
02/02/2018,10,1,High,halifax,NS,Medicate with a medical document,Daily,0
25/01/2018,0.001,0.0001,High,halifax,NS,Medicate with a medical document,,0
27/01/2018,10,1,Medium,halifax,NS,Use recreationally,,0
30/01/2018,10,1,Medium,halifax,NS,Use recreationally,,0
30/01/2018,10,1,High,halifax,NS,Use recreationally,,0
30/01/2018,35,3.5,High,halifax,NS,Use recreationally,,0
30/01/2018,10,1,High,halifax,NS,Use recreationally,,0
30/01/2018,100,10,High,halifax,NS,Medicate without a medical document,A few times per week,0
30/01/2018,10,1,High,halifax,NS,Medicate without a medical document,,0
31/01/2018,10,1,High,halifax,NS,Use recreationally,,0
31/01/2018,10,1,Low,halifax,NS,Medicate with a medical document,,0
01/02/2018,10,1,Medium,halifax,NS,Medicate without a medical document,,0
02/02/2018,10,1,Medium,halifax,NS,Use recreationally,,0
26/01/2018,280,28,High,halifax,NS,Use recreationally,,0
01/02/2018,65,7,High,halifax,NS,Medicate without a medical document,,0
30/01/2018,9,1,High,halifax,NS,Medicate without a medical document,,0
05/02/2018,9,1,Medium,halifax,NS,Medicate without a medical document,,0
30/01/2018,240,28,High,halifax,NS,Use recreationally,,0
31/01/2018,60,7,High,halifax,NS,Medicate without a medical document,,0
25/01/2018,8,1,Medium,halifax,NS,Medicate with a medical document,,0
30/01/2018,40,5,High,halifax,NS,Use recreationally,A few times a year,0
30/01/2018,8,1,Medium,halifax,NS,Use recreationally,,0
30/01/2018,80,10,High,halifax,NS,Use recreationally,,0
30/01/2018,8,1,High,halifax,NS,Medicate with a medical document,,0
30/01/2018,8,1,High,halifax,NS,Medicate without a medical document,,0
30/01/2018,8,1,Medium,halifax,NS,Use recreationally,A few times a year,0
31/01/2018,8,1,High,halifax,NS,Use recreationally,,0
31/01/2018,8,1,High,halifax,NS,Use recreationally,,0
31/01/2018,8,1,Medium,halifax,NS,Use recreationally,,0
06/02/2018,8,1,High,halifax,NS,Medicate without a medical document,,0
30/01/2018,7.7,1,High,halifax,NS,Medicate without a medical document,,0
25/01/2018,200,28,Medium,halifax,NS,Use recreationally,,0
30/01/2018,50,7,Medium,halifax,NS,Medicate without a medical document,,0
30/01/2018,50,7,Medium,halifax,NS,Use recreationally,,0
30/01/2018,100,14,High,halifax,NS,Medicate without a medical document,,0
30/01/2018,200,28,Medium,halifax,NS,Medicate without a medical document,,0
30/01/2018,50,7,High,halifax,NS,Use recreationally,,0
30/01/2018,50,7,Medium,halifax,NS,Medicate with a medical document,,0
30/01/2018,50,7,High,halifax,NS,Use recreationally,,0
02/02/2018,50,7,High,halifax,NS,Medicate without a medical document,,0
05/02/2018,200,28,High,halifax,NS,Medicate with a medical document,,0
30/01/2018,7,1,Medium,halifax,NS,Use recreationally,,0
30/01/2018,7,1,Medium,halifax,NS,Use recreationally,,0
26/01/2018,90,14,High,halifax,NS,Medicate with a medical document,,0
30/01/2018,180,28,Low,halifax,NS,Use recreationally,,0
27/01/2018,60,9.5,Medium,halifax,NS,Use recreationally,,0
26/01/2018,25,4,Low,halifax,NS,Use recreationally,,0
02/02/2018,175,28,Medium,halifax,NS,Use recreationally,,0
30/01/2018,6,1,High,halifax,NS,Medicate without a medical document,,0
30/01/2018,6,1,High,halifax,NS,Medicate without a medical document,,0
30/01/2018,6,1,High,halifax,NS,Medicate with a medical document,,0
31/01/2018,6,1,High,halifax,NS,Use recreationally,,0
30/01/2018,1300,224,High,halifax,NS,Use recreationally,,0
30/01/2018,20,3.5,High,halifax,NS,Medicate without a medical document,,0
05/02/2018,150,28,High,halifax,NS,Medicate with a medical document,Daily,0
30/01/2018,145,28,High,halifax,NS,Medicate without a medical document,Daily,0
28/01/2018,140,28,High,halifax,NS,Medicate with a medical document,,0
30/01/2018,140,28,High,halifax,NS,Use recreationally,,0
31/01/2018,250,50,High,halifax,NS,Use recreationally,,0
31/01/2018,5,1,High,halifax,NS,Use recreationally,,0
01/02/2018,140,28,High,halifax,NS,Medicate without a medical document,,0
01/02/2018,140,28,,halifax,NS,Use recreationally,,0
01/02/2018,67.5,14,High,halifax,NS,Medicate without a medical document,,0
05/02/2018,4.5,1,High,halifax,NS,Use recreationally,,0
31/01/2018,4,1,High,halifax,NS,Use recreationally,,0
01/02/2018,3.5,1,High,halifax,NS,Use recreationally,,0
31/01/2018,3,1,High,halifax,NS,Medicate without a medical document,,0
30/01/2018,75,28,High,halifax,NS,Use recreationally,,0
30/01/2018,6,1,High,truro,NS,Medicate with a medical document,Daily,150
26/01/2018,100,14,High,truro,NS,Medicate without a medical document,Daily,112
30/01/2018,200,28,High,truro,NS,Medicate without a medical document,Daily,75
03/02/2018,145,28,Medium,truro,NS,Use recreationally,Daily,50
31/01/2018,10,1,High,truro,NS,Use recreationally,Daily,35
02/02/2018,40,7,Medium,truro,NS,Use recreationally,Daily,30
31/01/2018,8,1,Medium,truro,NS,Medicate with a medical document,Daily,28
30/01/2018,5,1,Medium,truro,NS,Use recreationally,Daily,28
30/01/2018,220,28,High,truro,NS,Medicate without a medical document,Daily,14
02/02/2018,8,1,High,truro,NS,Use recreationally,A few times per week,7
30/01/2018,7.5,1,High,truro,NS,Medicate with a medical document,A few times per week,7
30/01/2018,5,1,High,truro,NS,Medicate without a medical document,A few times per week,3.5
30/01/2018,40,6,Medium,truro,NS,Use recreationally,A few times a year,0.25
30/01/2018,300,56,High,truro,NS,Use recreationally,,0
30/01/2018,120,28,Medium,amherst,NS,Use recreationally,Daily,84
03/02/2018,160,28,High,amherst,NS,Medicate without a medical document,Daily,40
30/01/2018,200,28,Medium,amherst,NS,Use recreationally,Daily,28
31/01/2018,5,1,High,amherst,NS,Use recreationally,A few times per week,28
26/01/2018,165,28,High,amherst,NS,Medicate with a medical document,Daily,14
31/01/2018,10,1,High,amherst,NS,Medicate without a medical document,A few times per week,7
31/01/2018,50,7,High,amherst,NS,Medicate without a medical document,A few times per week,7
31/01/2018,180,28,High,amherst,NS,Medicate without a medical document,A few times per week,7
31/01/2018,10,1,High,amherst,NS,Medicate without a medical document,A few times per week,5
01/02/2018,10,1,Medium,amherst,NS,Use recreationally,Daily,3.5
30/01/2018,60,14,Medium,amherst,NS,Use recreationally,A few times per week,3.5
07/02/2018,200,28,High,amherst,NS,Medicate without a medical document,Daily,28
31/01/2018,80,14,Medium,amherst,NS,Use recreationally,,0
26/01/2018,140,28,Medium,amherst,NS,Use recreationally,,0
30/01/2018,200,28,High,stellarton,NS,Use recreationally,Daily,30
31/01/2018,150,28,High,new glasgow,NS,Use recreationally,Daily,56
30/01/2018,5.35,1,High,new glasgow,NS,Medicate with a medical document,Daily,50
31/01/2018,40,7,High,new glasgow,NS,Medicate without a medical document,Daily,35
31/01/2018,60,7,High,new glasgow,NS,Use recreationally,Daily,28
30/01/2018,150,28,High,new glasgow,NS,Use recreationally,Daily,14
02/02/2018,10,1,High,new glasgow,NS,Use recreationally,A few times per month,7
31/01/2018,5,1,High,new glasgow,NS,Use recreationally,A few times per week,3.5
07/02/2018,5,1,High,new glasgow,NS,Medicate with a medical document,Daily,3.5
26/01/2018,100,28,High,antigonish,NS,Medicate without a medical document,Daily,125
26/01/2018,60,7,High,antigonish,NS,Use recreationally,Daily,35
26/01/2018,200,28,High,antigonish,NS,Use recreationally,Daily,35
26/01/2018,35,7,Medium,antigonish,NS,Use recreationally,Daily,35
26/01/2018,5,1,Medium,antigonish,NS,Use recreationally,Daily,35
26/01/2018,130,28,Medium,antigonish,NS,Use recreationally,Daily,35
26/01/2018,25,7,Low,antigonish,NS,Use recreationally,Daily,35
26/01/2018,90,28,Low,antigonish,NS,Use recreationally,Daily,35
27/01/2018,5,1,Medium,antigonish,NS,Medicate without a medical document,Daily,30
30/01/2018,50,7,Medium,antigonish,NS,Use recreationally,Daily,20
31/01/2018,180,28,High,antigonish,NS,Use recreationally,Daily,14
30/01/2018,120,28,Medium,antigonish,NS,Use recreationally,Daily,14
31/01/2018,100,28,High,antigonish,NS,Use recreationally,A few times per week,3.5
30/01/2018,120,14,High,antigonish,NS,Use recreationally,,0
30/01/2018,8,1,High,port hawkesbury,NS,Medicate without a medical document,A few times a year,0.5
31/01/2018,10,1,Medium,port hawkesbury,NS,Use recreationally,,0
28/01/2018,50,7,Medium,port hawkesbury,NS,Medicate with a medical document,Daily,0
27/01/2018,14,1,High,"inverness, subd. a",NS,Medicate with a medical document,A few times per week,3.5
31/01/2018,110,28,High,cape breton,NS,Medicate without a medical document,Daily,112
30/01/2018,600,300,High,cape breton,NS,Medicate with a medical document,Daily,60
01/02/2018,120,28,Medium,cape breton,NS,Use recreationally,Daily,56
02/02/2018,120,14,High,cape breton,NS,Use recreationally,Daily,30
30/01/2018,300,45,Medium,cape breton,NS,Medicate without a medical document,Daily,28
31/01/2018,140,28,Medium,cape breton,NS,Medicate without a medical document,Daily,28
31/01/2018,4.5,1,Medium,cape breton,NS,Medicate with a medical document,Daily,28
30/01/2018,10,1,High,cape breton,NS,Use recreationally,Daily,14
31/01/2018,50,7,Medium,cape breton,NS,Medicate without a medical document,Daily,14
30/01/2018,60,7,,cape breton,NS,Medicate without a medical document,A few times per week,7
30/01/2018,40,7,Medium,cape breton,NS,Use recreationally,A few times per month,3.5
30/01/2018,120,14,Low,cape breton,NS,Use recreationally,A few times per week,1
30/01/2018,8,1,High,cape breton,NS,Use recreationally,A few times a year,0.5
30/01/2018,10,1,Medium,cape breton,NS,Use recreationally,A few times a year,0
01/02/2018,10,1,Medium,cape breton,NS,Use recreationally,,0
30/01/2018,2400,300,High,saint john,NB,Medicate with a medical document,Daily,300
31/01/2018,150,28,High,saint john,NB,Use recreationally,Daily,105
26/01/2018,80,28,Medium,saint john,NB,Medicate with a medical document,Daily,60
31/01/2018,11.5,1,High,saint john,NB,Medicate without a medical document,Daily,56
28/01/2018,160,28,High,saint john,NB,Medicate without a medical document,Daily,56
01/02/2018,150,28,High,saint john,NB,Use recreationally,Daily,56
30/01/2018,100,28,Medium,saint john,NB,Use recreationally,Daily,56
31/01/2018,10,1,High,saint john,NB,Use recreationally,Daily,50
31/01/2018,150,28,Medium,saint john,NB,Medicate with a medical document,Daily,35
03/02/2018,8,1,High,saint john,NB,Use recreationally,Daily,30
31/01/2018,25,3.5,High,saint john,NB,Medicate without a medical document,Daily,30
30/01/2018,130,28,Medium,saint john,NB,Use recreationally,Daily,30
30/01/2018,10,1,High,saint john,NB,Medicate with a medical document,Daily,28
31/01/2018,10,1,Medium,saint john,NB,Medicate without a medical document,A few times per week,28
31/01/2018,30,3.5,High,saint john,NB,Medicate without a medical document,Daily,28
31/01/2018,100,14,Medium,saint john,NB,Medicate without a medical document,Daily,28
25/01/2018,6,1,High,saint john,NB,Medicate with a medical document,Daily,28
31/01/2018,160,28,High,saint john,NB,Medicate with a medical document,Daily,28
31/01/2018,40,7,High,saint john,NB,Use recreationally,Daily,28
31/01/2018,80,14,High,saint john,NB,Use recreationally,A few times per week,28
31/01/2018,4,1,High,saint john,NB,Use recreationally,Daily,28
31/01/2018,89,28,Medium,saint john,NB,Use recreationally,Daily,28
30/01/2018,25,3.5,Medium,saint john,NB,Use recreationally,Daily,15
31/01/2018,150,28,High,saint john,NB,Medicate without a medical document,Daily,15
30/01/2018,9,1,High,saint john,NB,Medicate with a medical document,Daily,14
31/01/2018,60,7,High,saint john,NB,Medicate without a medical document,Daily,14
31/01/2018,7,1,Medium,saint john,NB,Use recreationally,A few times per week,14
01/02/2018,100,18,High,saint john,NB,Use recreationally,Daily,14
31/01/2018,300,56,High,saint john,NB,Medicate without a medical document,A few times per week,14
31/01/2018,5,1,High,saint john,NB,Use recreationally,A few times per week,14
01/02/2018,5,1,High,saint john,NB,Medicate without a medical document,A few times per week,14
03/02/2018,7.5,1.5,Medium,saint john,NB,Use recreationally,A few times per week,14
31/01/2018,2,1,High,saint john,NB,Medicate without a medical document,Daily,14
01/02/2018,12,1,High,saint john,NB,Medicate without a medical document,A few times per week,7
31/01/2018,40,3.5,Medium,saint john,NB,Use recreationally,A few times per week,7
31/01/2018,10,1,High,saint john,NB,Medicate without a medical document,Daily,7
02/02/2018,7,1,High,saint john,NB,Medicate without a medical document,A few times per week,7
31/01/2018,170,28,High,saint john,NB,Use recreationally,Daily,7
01/02/2018,6,1,High,saint john,NB,Medicate without a medical document,Daily,7
04/02/2018,6,1,High,saint john,NB,Medicate without a medical document,Daily,7
31/01/2018,6,1,High,saint john,NB,Medicate with a medical document,A few times per week,7
30/01/2018,115,28,High,saint john,NB,Medicate without a medical document,Daily,7
31/01/2018,4,1,High,saint john,NB,Medicate without a medical document,A few times per week,7
31/01/2018,4,1,High,saint john,NB,Use recreationally,A few times per week,7
31/01/2018,10,1,Medium,saint john,NB,Use recreationally,Daily,3.5
31/01/2018,25,3.5,Medium,saint john,NB,Medicate without a medical document,A few times per week,3.5
26/01/2018,180,28,High,saint john,NB,Use recreationally,A few times per month,3.5
31/01/2018,6,1,High,saint john,NB,Medicate without a medical document,A few times per week,3.5
31/01/2018,80,14,Low,saint john,NB,Medicate without a medical document,Daily,3.5
30/01/2018,150,28,High,saint john,NB,Use recreationally,A few times per week,3.5
31/01/2018,5,1,High,saint john,NB,Medicate without a medical document,A few times per week,3.5
02/02/2018,140,28,High,saint john,NB,Use recreationally,A few times per week,3.5
31/01/2018,125,28,High,saint john,NB,Medicate with a medical document,A few times per month,3.5
07/02/2018,10,1,Medium,saint john,NB,Medicate without a medical document,A few times per month,1
30/01/2018,20,1.5,High,saint john,NB,Use recreationally,A few times per month,2.5
07/02/2018,80,14,High,saint john,NB,Medicate without a medical document,A few times per week,14
31/01/2018,10,1,High,saint john,NB,Medicate without a medical document,A few times per month,1
01/02/2018,45,7,Medium,saint john,NB,Use recreationally,A few times per month,1
06/02/2018,160,28,Medium,saint john,NB,Use recreationally,Daily,28
06/02/2018,5,1,High,saint john,NB,Use recreationally,Daily,28
06/02/2018,25,7,Medium,saint john,NB,Use recreationally,Daily,28
31/01/2018,25,3.5,Medium,saint john,NB,Use recreationally,A few times a year,0.5
31/01/2018,7,1,Medium,saint john,NB,Use recreationally,A few times per month,0.5
31/01/2018,20,3.5,High,saint john,NB,Use recreationally,A few times a year,0.5
31/01/2018,6,1,High,saint john,NB,Use recreationally,A few times a year,0.2
30/01/2018,10,1,Medium,saint john,NB,Use recreationally,A few times a year,0
31/01/2018,10,1,High,saint john,NB,Medicate without a medical document,,0
06/02/2018,25,3.5,High,saint john,NB,Medicate without a medical document,,0
31/01/2018,180,28,High,saint john,NB,Use recreationally,,0
31/01/2018,170,28,High,saint john,NB,Medicate with a medical document,,0
02/02/2018,170,28,Medium,saint john,NB,Medicate without a medical document,,0
25/01/2018,150,28,Medium,saint john,NB,Use recreationally,,0
01/02/2018,150,28,Medium,saint john,NB,Use recreationally,,0
31/01/2018,5,1,Medium,saint john,NB,Medicate without a medical document,,0
31/01/2018,120,28,Low,saint john,NB,Use recreationally,,0
01/02/2018,14,3.5,High,saint john,NB,Use recreationally,,0
02/02/2018,4,1,Medium,saint john,NB,Use recreationally,,0
31/01/2018,100,28,High,saint john,NB,Use recreationally,,0
31/01/2018,3,1,Low,saint john,NB,Use recreationally,,0
31/01/2018,60,14,Medium,st. stephen,NB,Use recreationally,Daily,14
02/02/2018,150,28,High,fredericton junction,NB,Medicate with a medical document,Daily,112
31/01/2018,5,1,Medium,fredericton junction,NB,Medicate with a medical document,A few times a year,0.5
02/02/2018,150,28,High,oromocto,NB,Use recreationally,Daily,28
31/01/2018,100,28,Medium,oromocto,NB,Medicate without a medical document,,0
25/01/2018,40,3.5,Medium,gagetown,NB,Medicate without a medical document,Daily,3.5
26/01/2018,70,28,Medium,gagetown,NB,Use recreationally,A few times per month,3.5
30/01/2018,125,28,Medium,sussex,NB,Use recreationally,Daily,3.5
31/01/2018,5,1,High,sussex,NB,Use recreationally,A few times a year,0.5
31/01/2018,160,28,High,rothesay,NB,Use recreationally,Daily,14
31/01/2018,10,1,High,quispamsis,NB,Use recreationally,A few times per week,1
30/01/2018,178,60,Low,hillsborough,NB,Medicate with a medical document,Daily,60
28/01/2018,20,3.5,High,riverview,NB,Medicate with a medical document,Daily,28
31/01/2018,50,7,High,riverview,NB,Use recreationally,Daily,20
30/01/2018,100,28,Medium,sackville,NB,Use recreationally,Daily,112
01/02/2018,55,7,High,sackville,NB,Use recreationally,A few times per month,14
30/01/2018,45,3.5,Medium,sackville,NB,Use recreationally,Daily,7
30/01/2018,40,7,High,sackville,NB,Use recreationally,A few times per week,3.5
30/01/2018,200,28,Medium,sackville,NB,Medicate without a medical document,A few times per month,0.5
31/01/2018,10,1,High,sackville,NB,Use recreationally,,0
31/01/2018,50,7,High,shediac,NB,Use recreationally,A few times per month,1
28/01/2018,2,1,High,moncton,NB,Medicate with a medical document,Daily,240
28/01/2018,40,10,Medium,moncton,NB,Medicate with a medical document,Daily,150
02/02/2018,800,227,High,moncton,NB,Medicate with a medical document,Daily,120
30/01/2018,3,1,High,moncton,NB,Medicate without a medical document,Daily,112
30/01/2018,99,28,Medium,moncton,NB,Medicate with a medical document,Daily,93
29/01/2018,120,28,Medium,moncton,NB,Medicate with a medical document,Daily,80
31/01/2018,315,45,High,moncton,NB,Medicate with a medical document,Daily,60
30/01/2018,100,14,High,moncton,NB,Use recreationally,Daily,56
31/01/2018,180,28,High,moncton,NB,Use recreationally,Daily,56
30/01/2018,100,28,High,moncton,NB,Medicate without a medical document,Daily,56
01/02/2018,100,28,High,moncton,NB,Medicate with a medical document,Daily,56
30/01/2018,220,28,High,moncton,NB,Medicate without a medical document,Daily,42
07/02/2018,160,28,High,moncton,NB,Use recreationally,Daily,40
30/01/2018,120,28,High,moncton,NB,Medicate without a medical document,Daily,40
30/01/2018,200,28,High,moncton,NB,Use recreationally,Daily,30
29/01/2018,120,28,High,moncton,NB,Use recreationally,Daily,30
01/02/2018,120,28,Medium,moncton,NB,Use recreationally,Daily,30
28/01/2018,10,1,High,moncton,NB,Medicate with a medical document,Daily,28
31/01/2018,8,1,Medium,moncton,NB,Medicate with a medical document,Daily,28
28/01/2018,25,3.5,High,moncton,NB,Medicate without a medical document,Daily,28
30/01/2018,50,7,High,moncton,NB,Medicate without a medical document,Daily,28
02/02/2018,50,7,High,moncton,NB,Medicate without a medical document,Daily,28
29/01/2018,7,1,High,moncton,NB,Use recreationally,Daily,28
02/02/2018,180,28,Medium,moncton,NB,Medicate without a medical document,Daily,28
30/01/2018,40,7,High,moncton,NB,Use recreationally,Daily,28
01/02/2018,40,7,High,moncton,NB,Use recreationally,Daily,28
01/02/2018,150,28,High,moncton,NB,Use recreationally,Daily,28
30/01/2018,145,28,Medium,moncton,NB,Use recreationally,A few times per week,28
31/01/2018,110,28,Medium,moncton,NB,Medicate without a medical document,Daily,28
28/01/2018,100,28,High,moncton,NB,Medicate without a medical document,Daily,28
31/01/2018,100,28,Medium,moncton,NB,Use recreationally,Daily,28
01/02/2018,3,1,Medium,moncton,NB,Medicate without a medical document,Daily,28
01/02/2018,16,1,Medium,moncton,NB,Medicate without a medical document,Daily,15
30/01/2018,6,1,,moncton,NB,Medicate with a medical document,Daily,15
28/01/2018,35,7,High,moncton,NB,Medicate without a medical document,Daily,15
31/01/2018,5,1,High,moncton,NB,Medicate with a medical document,Daily,15
30/01/2018,100,28,Medium,moncton,NB,Use recreationally,Daily,15
26/01/2018,8,1,High,moncton,NB,Use recreationally,Daily,14
30/01/2018,220,28,Medium,moncton,NB,Medicate without a medical document,Daily,14
30/01/2018,7.5,1,High,moncton,NB,Medicate with a medical document,Daily,14
30/01/2018,50,7,High,moncton,NB,Medicate without a medical document,Daily,14
30/01/2018,200,28,Medium,moncton,NB,Use recreationally,A few times per week,14
30/01/2018,90,14,High,moncton,NB,Medicate without a medical document,A few times per week,14
30/01/2018,50,8.5,Medium,moncton,NB,Medicate with a medical document,Daily,14
25/01/2018,5,1,High,moncton,NB,Use recreationally,A few times per week,14
02/02/2018,5,1,High,moncton,NB,Use recreationally,A few times per week,14
31/01/2018,125,28,Medium,moncton,NB,Use recreationally,A few times per week,14
31/01/2018,60,14,Medium,moncton,NB,Use recreationally,Daily,14
30/01/2018,100,28,Medium,moncton,NB,Medicate without a medical document,A few times per week,14
30/01/2018,100,28,Medium,moncton,NB,Medicate without a medical document,A few times per week,14
30/01/2018,90,28,Medium,moncton,NB,Use recreationally,Daily,14
25/01/2018,80,28,High,moncton,NB,Use recreationally,Daily,14
01/02/2018,100,14,Medium,moncton,NB,Medicate without a medical document,Daily,7
03/02/2018,100,14,High,moncton,NB,Use recreationally,A few times per month,7
31/01/2018,90,14,Medium,moncton,NB,Use recreationally,Daily,7
30/01/2018,40,7,Medium,moncton,NB,Medicate with a medical document,Daily,7
02/02/2018,20,3.5,High,moncton,NB,Medicate without a medical document,Daily,7
30/01/2018,4.46,1,Medium,moncton,NB,Use recreationally,Daily,7
28/01/2018,10,1,High,moncton,NB,Use recreationally,Daily,6
